Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
HB,idbloodgroupcat,91334,1.5030467E-131,9.2587676E-129
HB,meanstoragetime,91293,1.5625884E-87,4.8127722E-85
HB,meandonorhb,90592,7.3879132E-83,1.5169849E-80
EVF,idbloodgroupcat,52787,1.4141421E-57,2.1777788E-55
EVF,meanstoragetime,52761,1.2075484E-52,1.4876996E-50
HB,donorparity,91409,1.1006680E-47,1.1300191E-45
HB,meandonorsex,91409,6.6430199E-47,5.8458575E-45
ERYTRO,meanstoragetime,36546,9.5420332E-42,7.3473656E-40
MCV,meandonorage,36822,4.2641538E-30,2.9185764E-28
ERYTRO,meandonorhb,36205,2.9197721E-27,1.7985796E-25
MCV,meanstoragetime,36770,1.7913789E-25,1.0031722E-23
EVF,meandonorhb,52282,3.1098182E-23,1.5963733E-21
TPK,idbloodgroupcat,54074,3.4116883E-17,1.6166154E-15
MCH,meandonorage,36913,1.7178669E-16,7.5586145E-15
ERYTRO,idbloodgroupcat,36570,2.4765865E-15,1.0170515E-13
CL,idbloodgroupcat,21052,1.3866182E-14,5.3384801E-13
ERYTRO,meandonorsex,36599,1.5051012E-14,5.4537786E-13
ERYTRO,donorparity,36599,1.4730675E-13,5.0411643E-12
MCV,donorparity,36822,6.1254068E-13,1.9859214E-11
MCHC,meandonorhb,23860,1.8486511E-12,5.6938455E-11
BILI,idbloodgroupcat,22339,8.9973898E-12,2.6392343E-10
EVF,meandonorsex,52826,1.0343796E-11,2.8962628E-10
EVF,donorparity,52826,4.9434258E-11,1.3239784E-09
MCV,meandonorsex,36822,1.3525320E-10,3.4714988E-09
HB,numdoncat,91465,3.5946701E-08,8.8572671E-07
TPK,meanstoragetime,54041,3.7917589E-08,8.9835520E-07
MCH,meandonorhb,36514,2.0373910E-07,4.6482699E-06
MCH,meanstoragetime,36861,2.6232906E-07,5.7712394E-06
CA_F,idbloodgroupcat,20348,3.8217073E-07,8.1178335E-06
MCV,meandonorhb,36426,6.9483194E-07,1.4267216E-05
KREA,idbloodgroupcat,50292,2.4380888E-05,4.8447185E-04
COHB,meanstoragetime,14188,4.3514992E-05,8.2474205E-04
BILI,meanstoragetime,22331,4.4182610E-05,8.2474205E-04
LAKTAT,idbloodgroupcat,18865,1.1092934E-04,2.0097786E-03
APTT,meanstoragetime,22079,1.2602394E-04,2.2180213E-03
