predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
idbloodgroupcat,HB,predictorvalue,1,91328,597.57,597.57,5.66088E-132,1.5030467E-131,0,6.91401E-129
meandonationtime,EVF,predspline,2,55543,505.05,252.53,2.13661E-110,6.6886180E-110,0,1.53838E-107
meanstoragetime,HB,predspline,2,91286,400.63,200.32,1.008085E-87,1.5625884E-87,0,2.395969E-85
meandonorhb,HB,predspline,2,90585,379.02,189.51,4.97527E-83,7.3879132E-83,0,8.4961E-81
meanstoragetime,EVF,predspline,2,55633,233.50,116.75,1.9744E-51,2.5208501E-51,0,2.319182E-49
meandonorsex,HB,predictorvalue,1,91403,207.10,207.10,5.902084E-47,6.6430199E-47,0,5.092982E-45
meanstoragetime,ERYTRO,predspline,2,36539,189.39,94.70,7.471724E-42,9.5420332E-42,0,6.270479E-40
meandonorage,MCV,predspline,2,36815,135.50,67.75,3.765435E-30,4.2641538E-30,0,2.451888E-28
meandonorhb,ERYTRO,predspline,2,36198,122.40,61.20,2.633364E-27,2.9197721E-27,0,1.492328E-25
meanstoragetime,MCV,predspline,2,36763,114.14,57.07,1.6398E-25,1.7913789E-25,0,8.240343E-24
meandonorage,MCH,predspline,2,36906,72.67,36.34,1.657575E-16,1.7178669E-16,0,7.183807E-15
idbloodgroupcat,ERYTRO,predictorvalue,1,36564,62.70,62.70,2.408931E-15,2.4765865E-15,0,9.493582E-14
meandonorsex,ERYTRO,predictorvalue,1,36593,59.14,59.14,1.468424E-14,1.5051012E-14,0,5.325743E-13
meandonorhb,MCHC,predspline,2,23853,54.09,27.05,1.792898E-12,1.8486511E-12,0,6.074139E-11
idbloodgroupcat,BILI,predictorvalue,1,22333,46.59,46.59,8.772683E-12,8.9973898E-12,0,2.7592E-10
meandonorsex,MCV,predictorvalue,1,36816,41.25,41.25,1.336261E-10,1.3525320E-10,0,3.8885295E-9
timesincecat,EVF,predictorvalue,3,55733,44.18,14.73,1.3820801E-9,1.3936929E-09,0,3.7711691E-8
meanstoragetime,TPK,predspline,2,54034,34.19,17.09,3.7713196E-8,3.7917589E-08,0,9.6900506E-7
meandonorhb,MCH,predspline,2,36507,30.83,15.41,2.0241838E-7,2.0373910E-07,0,4.9326309E-6
meanstoragetime,MCH,predspline,2,36854,30.32,15.16,2.6069915E-7,2.6232906E-07,0,6.0335684E-6
