predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
idbloodgroupcat,HB,predictorvalue,1,91328,597.57,597.57,5.66088E-132,1.5030467E-131,0,9.25877E-129
meandonationtime,EVF,predspline,2,55543,505.05,252.53,2.13661E-110,6.6886181E-110,0,2.06009E-107
meanstoragetime,HB,predspline,2,91286,400.63,200.32,1.008085E-87,1.5625884E-87,0,3.208515E-85
meandonorhb,HB,predspline,2,90585,379.02,189.51,4.97527E-83,7.3879132E-83,0,1.137739E-80
meanstoragetime,EVF,predspline,2,55633,233.50,116.75,1.9744E-51,2.5208501E-51,0,3.105687E-49
donorparity,HB,predictorvalue,2,91402,216.51,108.25,9.684168E-48,1.1006680E-47,0,1.130019E-45
meandonorsex,HB,predictorvalue,1,91403,207.10,207.10,5.902084E-47,6.6430199E-47,0,5.845857E-45
meanstoragetime,ERYTRO,predspline,2,36539,189.39,94.70,7.471724E-42,9.5420332E-42,0,7.347366E-40
meandonorage,MCV,predspline,2,36815,135.50,67.75,3.765435E-30,4.2641538E-30,0,2.918576E-28
meandonorhb,ERYTRO,predspline,2,36198,122.40,61.20,2.633364E-27,2.9197721E-27,0,1.79858E-25
meanstoragetime,MCV,predspline,2,36763,114.14,57.07,1.6398E-25,1.7913789E-25,0,1.003172E-23
numdoncat,EVF,predictorvalue,4,55732,100.00,25.00,9.832105E-21,1.0264592E-20,0,5.269157E-19
idbloodgroupcat,TPK,predictorvalue,1,54068,71.14,71.14,3.330675E-17,3.4116883E-17,0,1.616615E-15
meandonorage,MCH,predspline,2,36906,72.67,36.34,1.657575E-16,1.7178669E-16,0,7.558614E-15
idbloodgroupcat,ERYTRO,predictorv,1,36564,62.70,62.70,2.408931E-15,2.4765865E-15,0,1.017052E-13
idbloodgroupcat,CL,predictorvalue,1,21046,59.34,59.34,1.328067E-14,1.3866182E-14,0,5.33848E-13
meandonorsex,ERYTRO,predictorv,1,36593,59.14,59.14,1.468424E-14,1.5051012E-14,0,5.453779E-13
donorparity,ERYTRO,predictorv,2,36592,59.14,29.57,1.438322E-13,1.4730675E-13,0,5.041164E-12
donorparity,MCV,predictorvalue,2,36815,56.29,28.14,5.995168E-13,6.1254068E-13,0,1.985921E-11
meandonorhb,MCHC,predspline,2,23853,54.09,27.05,1.792898E-12,1.8486511E-12,0,5.693845E-11
idbloodgroupcat,BILI,predictorvalue,1,22333,46.59,46.59,8.772683E-12,8.9973898E-12,0,2.639234E-10
meandonorsex,MCV,predictorvalue,1,36816,41.25,41.25,1.336261E-10,1.3525320E-10,0,3.7870896E-9
timesincecat,EVF,predictorvalue,3,55733,44.18,14.73,1.3820801E-9,1.3936929E-09,0,3.7326732E-8
numdoncat,HB,predictorvalue,4,91456,40.40,10.10,3.5801799E-8,3.5946701E-08,0,9.2263199E-7
meanstoragetime,TPK,predspline,2,54034,34.19,17.09,3.7713196E-8,3.7917589E-08,0,9.3428941E-7
meandonorhb,MCH,predspline,2,36507,30.83,15.41,2.0241838E-7,2.0373910E-07,0,4.8270495E-6
meanstoragetime,MCH,predspline,2,36854,30.32,15.16,2.6070067E-7,2.6233059E-07,0,5.9850239E-6
idbloodgroupcat,CA_F,predictorvalue,1,20342,25.80,25.80,3.7882327E-7,3.8217073E-07,0,8.4077561E-6
donorparity,EVF,predictorv,2,55707,28.65,14.33,6.0009934E-7,6.0231358E-07,0,0.000012794
meandonorsex,EVF,predictorvalue,1,55708,24.67,24.67,6.7961787E-7,6.8162496E-07,0,0.000013807
meandonorhb,MCV,predspline,2,36419,28.37,14.19,6.9100552E-7,6.9483194E-07,0,0.000013807
meanweekday,EVF,predictorvalue,5,55720,35.83,7.17,1.0254183E-6,1.0304127E-06,0,0.0000198354
foreigndonor,EVF,predictorv,1,55735,22.43,22.43,2.1831048E-6,2.1884671E-06,0,0.0000408514
meandonorhb,EVF,predspline,2,55162,22.94,11.47,0.0000104458,1.0470776E-05,0,0.0001897058
idbloodgroupcat,KREA,predictorv,1,50286,17.82,17.82,0.0000243382,2.4380888E-05,0,0.0004291036
meanstoragetime,COHB,predspline,2,14181,20.10,10.05,0.0000432065,4.3514992E-05,0,0.0007355807
meanstoragetime,BILI,predspline,2,22324,20.06,10.03,0.000043984,4.4182610E-05,0,0.0007355807
meandonorage,EVF,predspline,2,55706,19.42,9.71,0.0000606622,6.0764894E-05,0,0.0009850309
idbloodgroupcat,LAKTAT,predictorv,1,18859,14.95,14.95,0.0001105586,1.1092934E-04,0,0.0017521147
meanstoragetime,APTT,predspline,2,22072,17.97,8.98,0.0001255643,1.2602394E-04,0,0.0019407686
meandonorage,HB,predspline,2,91398,17.64,8.82,0.0001478259,1.4795172E-04,0,0.0022228844
meandonorsex,MCHC,predictorvalue,1,23926,13.90,13.90,0.00019276,1.9320426E-04,0,0.0028336625
foreigndonor,MCV,predictorvalue,1,36836,13.80,13.80,0.0002038472,2.0414792E-04,0,0.0029245376
idbloodgroupcat,PCO2,predictorvalue,1,16447,13.70,13.70,0.0002143278,2.1502737E-04,0,0.0030103832
timesincecat,HB,predictorvalue,3,91457,19.44,6.48,0.0002222025,2.2240999E-04,0,0.0030445456
foreigndonor,MCH,predictorvalue,1,36927,12.33,12.33,0.0004451824,4.4571348E-04,0,0.0059686849
meandonorhb,TPK,predspline,2,53553,15.30,7.65,0.0004748566,4.7537607E-04,0,0.0062304608
donorparity,MCHC,predictorvalue,2,23925,14.53,7.26,0.000701093,7.0263979E-04,0,0.0090172106
meandonorhb,BILI,predspline,2,22164,14.15,7.08,0.0008459344,8.4784630E-04,0,0.0106586392
timesincecat,ERYTRO,predictorv,3,36611,16.47,5.49,0.0009075794,9.0907357E-04,0,0.0111997864
idbloodgroupcat,TRI,predictorv,1,2546,10.87,10.87,0.0009796101,9.9305810E-04,0,0.0119945841
idbloodgroupcat,COHB,predictorvalue,1,14182,10.45,10.45,0.0012236568,1.2264554E-03,0,0.0145287788
meanstoragetime,SR,predspline,2,84,13.82,6.91,0.0009996824,1.6691181E-03,0,0.0193995612
numdoncat,ERYTRO,predictorv,4,36610,16.18,4.04,0.0027914885,2.7953804E-03,0,0.0318880427
foreigndonor,CA,predictorvalue,1,12739,8.72,8.72,0.0031389822,3.1447185E-03,0,0.035220847
meanstoragetime,CL,predspline,2,21041,11.24,5.62,0.0036276971,3.6331431E-03,0,0.039416066
numdoncat,BILI_K,predictorvalue,4,4820,15.59,3.90,0.0036173811,3.6527184E-03,0,0.039416066
meanweekday,PCO2,predictorvalue,5,16454,17.42,3.48,0.0037623992,3.7745686E-03,0,0.039416066
meandonorhb,CL,predspline,2,20846,11.16,5.58,0.0037696059,3.7752401E-03,0,0.039416066
meanstoragetime,KREA,predspline,2,50248,11.06,5.53,0.0039753131,3.9777308E-03,0,0.0408380366
meanstoragetime,ALB,predspline,2,23051,10.98,5.49,0.0041288716,4.1342716E-03,0,0.0417493657
meandonorsex,MYELO,predictorv,1,356,8.07,8.07,0.0045095172,4.7686893E-03,0,0.0473792361
meanweekday,TPK,predictorv,5,54119,16.02,3.20,0.0067870947,6.7925529E-03,0,0.0664160732
