label,predictor,predictorvalue,predicted,lower,upper,adjusted
APTT,timesincecat,0,-1.318601266,-2.320346095,-0.316856436,0
APTT,timesincecat,120,,,,0
APTT,timesincecat,240,,,,0
APTT,timesincecat,365,-2.245573922,-3.925012239,-0.566135605,0
APTT,timesincecat,999,-1.765206278,-3.529550441,-0.000862115,0
APTT,timesincecat,0,-1.543316068,-2.619185508,-0.467446627,1
APTT,timesincecat,120,,,,1
APTT,timesincecat,240,,,,1
APTT,timesincecat,365,-2.41526419,-4.1568944,-0.67363398,1
APTT,timesincecat,999,-2.060196416,-3.898562959,-0.221829873,1
BILI,timesincecat,0,3.7925383543,2.5789026466,5.006174062,0
BILI,timesincecat,120,,,,0
BILI,timesincecat,240,,,,0
BILI,timesincecat,365,3.7350174397,1.8103730522,5.6596618272,0
BILI,timesincecat,999,3.0370954485,0.675319988,5.398870909,0
BILI,timesincecat,0,4.2171929484,2.9251864351,5.5091994618,1
BILI,timesincecat,120,,,,1
BILI,timesincecat,240,,,,1
BILI,timesincecat,365,4.1454149456,2.1406553822,6.150174509,1
BILI,timesincecat,999,3.6680214895,1.2249974262,6.1110455529,1
CL,timesincecat,0,0.509122974,0.4280965631,0.590149385,0
CL,timesincecat,120,,,,0
CL,timesincecat,240,,,,0
CL,timesincecat,365,0.559828857,0.4428932758,0.6767644382,0
CL,timesincecat,999,0.4675040415,0.3449358855,0.5900721975,0
CL,timesincecat,0,0.4958577014,0.4111423298,0.580573073,1
CL,timesincecat,120,,,,1
CL,timesincecat,240,,,,1
CL,timesincecat,365,0.5484842187,0.4277630371,0.6692054004,1
CL,timesincecat,999,0.4582890209,0.3319134144,0.5846646274,1
EGFR,timesincecat,0,15.669063714,-12.78389905,44.122026477,0
EGFR,timesincecat,120,,,,0
EGFR,timesincecat,240,,,,0
EGFR,timesincecat,365,6.1466703277,-36.69660015,48.98994081,0
EGFR,timesincecat,999,29.956624173,-18.36759165,78.280840001,0
EGFR,timesincecat,0,13.656728294,-17.65692262,44.970379208,1
EGFR,timesincecat,120,,,,1
EGFR,timesincecat,240,,,,1
EGFR,timesincecat,365,-0.072911199,-46.78544178,46.639619377,1
EGFR,timesincecat,999,26.000384948,-25.09368024,77.094450137,1
FE,timesincecat,0,59.957673858,-8.056090835,127.97143855,0
FE,timesincecat,120,,,,0
FE,timesincecat,240,,,,0
FE,timesincecat,365,59.079653252,-37.32062431,155.47993082,0
FE,timesincecat,999,-13.53826639,-114.309134,87.23260117,0
FE,timesincecat,0,56.226019215,-18.60095629,131.05299472,1
FE,timesincecat,120,,,,1
FE,timesincecat,240,,,,1
FE,timesincecat,365,53.254504971,-48.44752101,154.95653096,1
FE,timesincecat,999,-13.53685521,-119.6968897,92.623179242,1
GT,timesincecat,0,-0.096981181,-0.198331577,0.0043692151,0
GT,timesincecat,120,,,,0
GT,timesincecat,240,,,,0
GT,timesincecat,365,-0.047449227,-0.195136567,0.1002381141,0
GT,timesincecat,999,-0.146419634,-0.325550573,0.0327113041,0
GT,timesincecat,0,-0.068947175,-0.178002557,0.0401082072,1
GT,timesincecat,120,,,,1
